tokenName,description,image,Background,Body,Ear,Head,Mouth,Right Eye,Left Eye,Right Eyebrow,Left Eyebrow,Clothing,Jewelry,Headwear,Name,Generation
1,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/1.png,Hack3rBackground,Mosaic,Ear,Brown,Moustache Rainbow,Rainbow,High,Tranquil,Calm,Fur Coat Dalmation,Nose Stud,Olive Branches,,1
2,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/2.png,Peach,Purple,Ear,Brown,Lip Bite Gold Grill,Pacman,Robot,Tranquil,Calm,Kimono,Earring,Bandana Red,,1
3,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/3.png,Peach,Mosaic,Ear,Brown,Crazy Gold Grill,Pacman,Yellow,Fancy,Snooty,Tank Top LA,Earring,Afro,,1
4,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/4.png,Baby Blue,Purple,Ear,Brown,Snarl Diamond,Emerald,Glass,Moody,Snooty,Varsity Jacket Blue,,Astronaut Helmet,,1
5,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/5.png,Baby Blue,Brown,Ear,Brown,Lip Bite,Pacman,Yellow,Tranquil,Sinister,Varsity Jacket Red,Earring,,,1
6,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/6.png,Indigo,Brown,Ear,Brown,Crazy,Emerald,Blue Squint,Tranquil,Calm,Hippie Vest,Nose Stud,Cowboy Hat,,1
7,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/7.png,Yellow,Brown,Ear,Brown,Lip Bite,Emerald,Blue Squint,Tranquil,Sinister,Flannel Brown,,Pablo Fitted Green,,1
8,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/8.png,Yellow,Purple,Ear,Brown,Moustache White,Cotton Candy,Robot,Moody,Snooty,Vacation Shirt Green,,Pablo Fitted Green,,1
9,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/9.png,Yellow,Mosaic,Ear,Brown,Lip Bite Blue,Gold,Glass,Moody,Sinister,Flannel Brown,Nose Ring,Olive Branches,,1
10,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/10.png,Green,Brown,Ear,Brown,Snarl,Jade,Yellow,Fancy,Snooty,Varsity Jacket Blue,Earring,Pablo Fitted Red,,1
11,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/11.png,Indigo,Brown,Ear,Brown,Crazy,Jade,Purple Lazy,Moody,Sinister,Varsity Jacket Blue,,Fisherman Hat,,1
12,A combination of modern art aesthetic and early 20th century cubism inspired by the late Picasso.,ipfs://QmeAVfDgQTpLn4aGDBWa7zzBqRVYPmrBeCCddEBgCAT6z8/12.png,Baby Blue,Mosaic,Ear,Brown,Snarl Blue,Jade,Blue Squint,Fancy,Sinister,Varsity Jacket Blue,Nose Ring,Party Hat,,1
